0.4500,-0.2038,2.1661,-1.3286,-1.3226,82.7389
1.4311,-1.1823,-0.3220,-0.1791,0.7288,44.6709
-1.1278,0.3957,-1.1105,-0.1856,-0.6614,35.3125
0.0259,1.2199,1.2088,-0.7925,0.0028,51.4025
-0.7158,0.8717,0.0941,1.6115,0.1535,38.8274
-2.3088,2.2646,-0.4261,1.4253,-0.1848,42.0783
0.0743,0.0920,1.8169,0.2340,-0.3057,72.2481
-1.1938,2.6373,1.9540,1.3224,-0.1061,88.2421
-2.1065,-1.0512,0.5761,0.0920,-1.6487,46.3091
-1.2111,1.4299,-1.5472,1.1300,0.3291,17.7641
2.1022,1.3764,1.6529,1.7606,-1.7006,72.7030
-0.4321,0.7730,-0.6658,0.4177,-1.3424,39.7919
-0.3508,1.2264,0.0865,0.5867,-1.0828,42.1430
-1.3127,0.4602,-1.4258,-0.9818,1.5297,25.5811
-0.0041,0.1893,-0.2731,1.0118,0.0634,39.6951
0.7350,-0.8080,1.5562,0.0940,-0.4562,58.8851
0.7643,-0.2709,-0.1846,-1.6058,-0.8435,29.4214
0.4999,-0.1044,0.1959,-0.9117,0.3138,39.2816
-1.1573,-2.0308,-0.7480,0.4584,0.4795,43.5309
0.2557,0.9180,-0.1046,0.8425,1.2805,39.2575
-0.5253,0.6231,-2.0715,0.0256,0.5555,-4.7677
-1.1257,0.3652,-0.0569,0.6378,0.7425,41.7902
-0.0602,-0.0773,-0.4817,-0.4547,1.6356,41.5487
-0.6387,0.5791,0.0533,0.0510,-0.7849,42.5028
0.8652,-0.7673,1.0302,0.3583,0.5427,46.1003
0.0287,-1.8566,0.2850,0.9270,1.1976,38.1666
1.4246,0.2840,1.5484,0.9622,0.1066,61.4804
-0.6400,-2.0690,-0.0443,0.6144,0.9675,41.0977
-1.2179,-0.3282,0.1927,0.1239,-0.2480,43.3792
-1.3307,-0.6152,0.6758,0.9979,1.1545,41.3366
-0.8164,0.1377,-0.9235,1.6276,-0.6730,35.9338
0.5816,-1.2355,-2.3631,-1.0123,-0.1739,-22.0912
1.2906,0.7091,-0.7438,0.3445,0.2704,40.1446
0.6941,0.1731,0.9241,-0.1759,1.6225,46.9351
-1.9285,0.9632,-0.4728,0.4969,0.3658,43.4799
1.4549,-1.4789,-0.0143,-0.9507,-0.4444,40.1662
-0.7119,-0.1602,2.0505,-0.6838,0.2016,83.3730
-0.1005,-1.6724,-0.5655,2.6115,0.9400,37.8931
0.7763,-0.8574,-0.6661,0.7746,-0.2529,41.1281
1.1287,-0.9209,-1.1479,-1.8891,-0.9082,18.6620
1.7783,-0.9789,1.1136,0.7643,-2.3562,50.3818
-0.6952,-1.6219,-0.0250,1.1795,0.8905,38.9813
-1.8211,0.4945,-1.4490,-0.9077,0.9004,26.2702
0.9875,1.8781,0.0048,0.4940,0.5069,42.1313
-1.6780,0.4473,-1.0952,-0.5633,-1.6912,35.1841
